actual_fra,actual_eng,predicted_eng
vous êtes trop confiant,youre too trusting,youre too trusting     
quiconque matil entendu ,did anyone hear me,did anyone hear me    
qui la cassé ,who broke this,who broke it     
tu dois partir,you have to go,you have to go    
jadore la soupe,i love soup,i love the soup    
jaimerais un câlin,id like a hug,id like to a hug   
prends quelques jours de congé,take a few days off,have a few     
je nen avais pas la moindre idée,i had no clue,i have no idea    
tu es presque mort,you nearly died,youre almost died     
tom a tout arrangé,tom fixed everything,tom went everything     
cest moi quelle a frappée pas lui,she hit me not him,she made to him    
va la chercher ,go look for it,go it      
tom n’habite pas ici,tom doesnt live here,tom doesnt here     
astu du ruban adhésif ,do you have any tape,do you have any tape   
cest un ange,shes an angel,this a      
laissezmoi men occuper,leave it to me,let me handle it    
jai allumé la télé,i turned on the tv,i lit on the tv   
écartezvous,stand aside,taste it      
je naime pas lété,i dont like summer,i dont like     
vous me manquez déjà,i miss you already,i said already     
ils sont en colère,theyre angry,theyre angry      
je compte sur toi,i am counting on you,i on  you    
va te changer ,go get changed,get your clothes     
je veux un couteau,i want a knife,i want a respect    
hé ne faites pas ça ,hey dont do that,hey dont do that    
elles lont démasqué,they found out,they found out     
ne le jette pas ,dont throw that away,dont it      
ce nétait pas juste ça,it wasnt just that,it wasnt not     
nous étions invaincus,we were undefeated,we were ambushed     
cest réconfortant davoir un temps radieux aujourdhui,its balmy today,shes makes a  today   
puisje masseoir auprès de vous ,may i sit next to you,may i sit next to you  
quel menteur vous faites ,youre such a liar,what a      
de quelle taille est le soleil ,how big is the sun,how  is     
je suis matérialiste,im materialistic,i my      
tom ma donné ce livre,tom gave me this book,tom gave me this book   
tom est en train de se noyer,toms drowning,tom is in heaven    
cest un bon étudiant,he is a good student,he is a good student   
je ne suis pas une chanteuse,im not a singer,im not a singer    
quavezvous répondu ,how did you reply,how did you answer    
tom semble satisfait,tom seems pleased,tom seems satisfied     
on nous a prévenues,weve been warned,lets buy      
il me serra bien fort,he gave me a big hug,he gave me a big well  
leau est froide,the waters cold,the water is cold    
tom a dit non,tom said no,tom said no     
je connais cette sensation,i know the feeling,i know this     
jen ai besoin surlechamp,i need it immediately,i need that now    
faites un autre choix,make another choice,make another choice     
nous avons terminé,weve finished,were finished      
veuxtu entrer ,do you want to go in,do you want to go   
ce couteau coupe bien,this knife cuts well,this a  city    
je nembaucherais jamais tom,id never hire tom,i never tom     
tu ferais mieux de partir,you had better go,you better  go    
je suis dans le jardin,i am in the garden,im in the garden    
à qui est ce cheval ,whose horse is it,whose this is     
doucement ,slow down,slow down      
tes assez bonne,youre pretty good,youre pretty good     
tom a besoin de toi ici,tom needs you here,tom needs you here    
jirai te prendre,ill get you,ill get you     
rien ne changera,nothing will change,nothing will change     
elles sont chrétiennes,they are christians,they are christians     
il ny avait pas de couteaux,there were no knives,there was no knives    
vous y rendrezvous ,will you go,are you there     
comme cest embarrassant ,how embarrassing,how is      
il soupira profondément,he gave a deep sigh,he cheated      
où est ta mère ,wheres your mom,wheres your mother     
éteins la télévision,turn off the tv,put hat tv     
nous sommes les derniers,were the last,were relatives      
demande encore à tom,ask tom again,ask tom again     
oust ,get out,bring for      
je ne peux pas te donner ça,i cant give you this,i cant rely that    
nous avons le même âge,were the same age,were the same  age   
le bus était vide,the bus was empty,the bus was empty    
tom a un iphone,tom has an iphone,tom has a halfsister    
notre équipe a perdu,our team lost,our team was lost    
ça me brise le cœur,it breaks my heart,this breaks my heart    
je lai apprécié,i liked it,i liked that     
elle est très fâchée,shes very upset,shes is very upset    
jétais endormie,i was asleep,i was asleep     
cest de la nourriture,its food,its food      
locéan était calme,the ocean was calm,the sea was     
elles jouent au basket,they play basketball,they play basketball     
je vis quelquun,i saw someone,i someone      
quastu bu ,what did you drink,what did you drink    
je ne peux pas risquer cela,i cant risk that,i cant do that    
ça saméliorera,itll be better,it matters      
cest une fille honnête,shes an honest girl,shes is a honest    
je souhaite être riche,i wish i were rich,i wish you be rich   
cest toi lexpert,youre the expert,its is      
tom compte sur mary,tom counts on mary,tom came on mary    
astu arrêté tom ,did you stop tom,did you tom     
elles nous trouveront,theyll find us,theyll find us     
vous venez doù ,where are you from,are you      
je vous appellerai à midi,ill call you at noon,ill call you in    
considère ça comme fait,consider it done,this it      
je me suis fait couper les cheveux,i got my hair cut,i brushed real     
les fantômes sontils réels ,are ghosts real,are  girls     
cest un joueur,hes a gambler,he is a player    
tom a lair dêtre un cas particulier,tom seems unusual,tom looks so handsome    
tom ne respire pas,toms not breathing,tom doesnt flirting     
ils ont des otages,they have hostages,they have families     
elle se frotta les yeux,she rubbed her eyes,she has his     
les lapins savent nager,rabbits can swim,can  swim     
cest plutôt rare,thats kind of rare,its already scarce     
ne soyons pas ennemies,lets not be enemies,lets not close     
je serai à lheure,ill be on time,ill be going     
je baissai les yeux,i looked down,i sell my     
je ne lai jamais refait,i never did it again,i never gave him    
nous sommes dans le pétrin,were in trouble,were in      
tom était sobre,tom was sober,tom was thirty     
je nai pas besoin de pause,i dont need a break,i dont need time    
je le permettrai,ill allow it,ill allow this     
ça doit partir ,is it to go,it must to go    
nous en déciderons plus tard,well decide later,well decide later     
menstu ,are you lying,are you lying to    
ça doit être un rêve,it must be a dream,it must be a dream   
arrose les plantes ,water the plants,cut the down     
les temps ont changé,times have changed,time is changed     
je me suis amusée,i amused myself,i had have     
tom la nié,tom denied it,tom denied it     
nous le découvrirons bientôt,well find out soon,well soon      
je ne suis pas un saint,im not a saint,im no saint     
écoutemoi bien ,listen carefully,listen closely      
il nest pas du tout satisfait,he isnt happy at all,hes not sure  all   
je suis toujours prudent,im always careful,im always careful     
les têtards deviennent des grenouilles,tadpoles become frogs,spring carefully      
elles montèrent des escaliers,they walked upstairs,they walked upstairs     
on sarrache,lets move,we have witnesses     
jai simplement paniqué,i just panicked,i just call     
la bière contient du houblon,beer contains hops,the bus is bed    
puisje dormir ici ,can i sleep here,may i go here    
tom était un garçon timide,tom was a shy boy,he was a  shy   
ils attaqueront,theyll attack,theyll attack      
il est bon menteur,hes a good liar,hes a good     
il fait une allergie aux médicaments,he has a drug allergy,it is a sheep    
jai peur des chiens,i am afraid of dogs,im afraid of dogs    
donnezlesmoi ,give them to me,lets control      
quand estce arrivé ,when did that happen,when did he happen    
tom voyage beaucoup,tom travels a lot,tom set a lot    
qui aime les haricots ,who likes beans,who they together     
je lai envisagé,i considered that,i have it     
creusez plus vite,dig faster,itll fish faster     
je nai pas besoin de ton boulot,i dont need your job,i dont need your job   
cest assez léger,its pretty light,its a bit     
du bœuf sil vous plaît,beef please,please open it     
souffle les bougies,blow out the candles,you light candles     
